#SampleID	Microhabitat	Type	CMM	Genotype	GS	Description
HvHEB154	Rhizosphere	Sample	No	Barke	30	Barke
HvHEB155	Rhizosphere	Sample	No	Barke	30	Barke
HvHEB156	Rhizosphere	Sample	No	Barke	30	Barke
HvHEB157	Rhizosphere	Sample	No	Barke	30	Barke
HvHEB100	Rhizosphere	Sample	No	HB57	30	BaC1S3
HvHEB101	Rhizosphere	Sample	No	HB57	30	BaC1S3
HvHEB104	Rhizosphere	Sample	No	HB69	30	BaC1S3
HvHEB106	Rhizosphere	Sample	No	HB69	30	BaC1S3
HvHEB109	Rhizosphere	Sample	No	HB107	50	BaC1S3
HvHEB112	Rhizosphere	Sample	No	HB125	30	BaC1S3
HvHEB115	Rhizosphere	Sample	No	HB124	30	BaC1S3
HvHEB116	Rhizosphere	Sample	No	HB124	30	BaC1S3
HvHEB120	Rhizosphere	Sample	No	HB14	40	BaC1S3
HvHEB121	Rhizosphere	Sample	No	HB14	40	BaC1S3
HvHEB122	Rhizosphere	Sample	No	HB118	30	BaC1S3
HvHEB123	Rhizosphere	Sample	No	HB118	30	BaC1S3
HvHEB127	Rhizosphere	Sample	No	HB44	30	BaC1S3
HvHEB128	Rhizosphere	Sample	No	HB44	30	BaC1S3
HvHEB132	Rhizosphere	Sample	No	HB134	30	BaC1S3
HvHEB135	Rhizosphere	Sample	No	HB117	40	BaC1S3
HvHEB136	Rhizosphere	Sample	No	HB117	40	BaC1S3
HvHEB138	Rhizosphere	Sample	No	HB85	30	BaC1S3
HvHEB140	Rhizosphere	Sample	No	HB85	30	BaC1S3
HvHEB141	Rhizosphere	Sample	No	HB4	30	BaC1S3
HvHEB142	Rhizosphere	Sample	No	HB4	30	BaC1S3
HvHEB144	Rhizosphere	Sample	No	HB20	30	BaC1S3
HvHEB145	Rhizosphere	Sample	No	HB20	30	BaC1S3
HvHEB147	Rhizosphere	Sample	No	HB113	30	BaC1S3
HvHEB166	Rhizosphere	Sample	No	HB64	30	BaC1S3
HvHEB168	Rhizosphere	Sample	No	HB86	30	BaC1S3
HvHEB169	Rhizosphere	Sample	No	HB86	30	BaC1S3
HvHEB17	Rhizosphere	Sample	No	HB91	30	BaC1S3
HvHEB173	Rhizosphere	Sample	No	HB31	30	BaC1S3
HvHEB175	Rhizosphere	Sample	No	HB41	30	BaC1S3
HvHEB176	Rhizosphere	Sample	No	HB41	30	BaC1S3
HvHEB177	Rhizosphere	Sample	No	HB140	30	BaC1S3
HvHEB179	Rhizosphere	Sample	No	HB140	30	BaC1S3
HvHEB18	Rhizosphere	Sample	No	HB91	30	BaC1S3
HvHEB181	Rhizosphere	Sample	No	HB68	30	BaC1S3
HvHEB182	Rhizosphere	Sample	No	HB45	30	BaC1S3
HvHEB183	Rhizosphere	Sample	No	HB45	30	BaC1S3
HvHEB186	Rhizosphere	Sample	No	HB127	30	BaC1S3
HvHEB187	Rhizosphere	Sample	No	HB127	30	BaC1S3
HvHEB190	Rhizosphere	Sample	No	HB61	30	BaC1S3
HvHEB191	Rhizosphere	Sample	No	HB61	30	BaC1S3
HvHEB195	Rhizosphere	Sample	No	HB55	30	BaC1S3
HvHEB198	Rhizosphere	Sample	No	HB132	30	BaC1S3
HvHEB200	Rhizosphere	Sample	No	HB132	30	BaC1S3
HvHEB203	Rhizosphere	Sample	No	HB21	30	BaC1S3
HvHEB204	Rhizosphere	Sample	No	HB48	30	BaC1S3
