Group.1	JH15.1	JH15.10	JH15.100	JH15.101	JH15.102	JH15.103	JH15.104	JH15.105	JH15.107	JH15.108	JH15.109	JH15.110	JH15.111	JH15.113	JH15.115	JH15.116	JH15.117	JH15.12	JH15.120	JH15.14	JH15.15	JH15.2	JH15.21	JH15.22	JH15.23	JH15.24	JH15.25	JH15.26	JH15.28	JH15.29	JH15.30	JH15.31	JH15.32	JH15.33	JH15.34	JH15.35	JH15.38	JH15.39	JH15.40	JH15.43	JH15.45	JH15.48	JH15.49	JH15.50	JH15.51	JH15.53	JH15.54	JH15.56	JH15.57	JH15.58	JH15.59	JH15.6	JH15.60	JH15.64	JH15.65	JH15.66	JH15.68	JH15.69	JH15.7	JH15.70	JH15.71	JH15.72	JH15.74	JH15.76	JH15.77	JH15.78	JH15.79	JH15.83	JH15.86	JH15.87	JH15.88	JH15.89	JH15.9	JH15.91	JH15.92	JH15.95	JH15.96	JH15.97	JH15.98	HvHEB100	HvHEB101	HvHEB104	HvHEB106	HvHEB109	HvHEB112	HvHEB115	HvHEB116	HvHEB120	HvHEB121	HvHEB122	HvHEB123	HvHEB127	HvHEB138	HvHEB140	HvHEB141	HvHEB142	HvHEB144	HvHEB145	HvHEB147	HvHEB149	HvHEB150	HvHEB151	HvHEB152	HvHEB154	HvHEB155	HvHEB156	HvHEB157	HvHEB163	HvHEB164	HvHEB166	HvHEB168	HvHEB169	HvHEB17	HvHEB173	HvHEB175	HvHEB176	HvHEB177	HvHEB179	HvHEB18	HvHEB181	HvHEB182	HvHEB183	HvHEB186	HvHEB187	HvHEB190	HvHEB191	HvHEB195	HvHEB198	HvHEB200	HvHEB203	HvHEB204	HvHEB205	HvHEB208	HvHEB210	HvHEB211	HvHEB215	HvHEB216	HvHEB219	HvHEB22	HvHEB220	HvHEB222	HvHEB223	HvHEB224	HvHEB231	HvHEB232	HvHEB233	HvHEB235	HvHEB236	HvHEB239	HvHEB240	HvHEB241	HvHEB244	HvHEB245	HvHEB247	HvHEB253	HvHEB254	HvHEB257	HvHEB259	HvHEB261	HvHEB262	HvHEB264	HvHEB266	HvHEB267	HvHEB30	HvHEB36	HvHEB4	HvHEB40	HvHEB42	HvHEB43	HvHEB48	HvHEB53	HvHEB59	HvHEB60	HvHEB63	HvHEB74	HvHEB75	HvHEB76	HvHEB77	HvHEB78	HvHEB79	HvHEB80	HvHEB81	HvHEB86	HvHEB87	HvHEB89	HvHEB90	HvHEB92	HvHEB93	HvHEB97	HvHEB98
<0.5%	0.085660377	0.043018868	0.049622642	0.042830189	0.035377358	0.116320755	0.036981132	0.027264151	0.043773585	0.041792453	0.034716981	0.047358491	0.038018868	0.044528302	0.027169811	0.051886792	0.034716981	0.036132075	0.03990566	0.045754717	0.10745283	0.052641509	0.052264151	0.039716981	0.107924528	0.119433962	0.038584906	0.050849057	0.046509434	0.061320755	0.11009434	0.056132075	0.040188679	0.063018868	0.049245283	0.04509434	0.053679245	0.078018868	0.054339623	0.041886792	0.038301887	0.036415094	0.033584906	0.038113208	0.031132075	0.035	0.045849057	0.043584906	0.146415094	0.034811321	0.039339623	0.053207547	0.072358491	0.030849057	0.048490566	0.135943396	0.053018868	0.04490566	0.044056604	0.05	0.051132075	0.043396226	0.03754717	0.034339623	0.124811321	0.047830189	0.12509434	0.037264151	0.04254717	0.036226415	0.037924528	0.129245283	0.039433962	0.032924528	0.123113208	0.037264151	0.037924528	0.039716981	0.035377358	0.071132075	0.060188679	0.075754717	0.079433962	0.07990566	0.066226415	0.127830189	0.110471698	0.053773585	0.07254717	0.061320755	0.075	0.061132075	0.055660377	0.046792453	0.057641509	0.049622642	0.061886792	0.051226415	0.053301887	0.075283019	0.065377358	0.080283019	0.062641509	0.05990566	0.063018868	0.06745283	0.069150943	0.054716981	0.082830189	0.074245283	0.05990566	0.052830189	0.057924528	0.058867925	0.048207547	0.058207547	0.062075472	0.062924528	0.07245283	0.072735849	0.061320755	0.059622642	0.055660377	0.062264151	0.04509434	0.058773585	0.048867925	0.073773585	0.060943396	0.082169811	0.039056604	0.056603774	0.061320755	0.057169811	0.064339623	0.065188679	0.055943396	0.064245283	0.120754717	0.052830189	0.057264151	0.062924528	0.054339623	0.051603774	0.073867925	0.041792453	0.053962264	0.039150943	0.08009434	0.064622642	0.073207547	0.069716981	0.052924528	0.066509434	0.059433962	0.064811321	0.149150943	0.080754717	0.054811321	0.098018868	0.08009434	0.058584906	0.086132075	0.061792453	0.06754717	0.05490566	0.063396226	0.068207547	0.067830189	0.091698113	0.084433962	0.07490566	0.063490566	0.106698113	0.146981132	0.156886792	0.16	0.156037736	0.069622642	0.076415094	0.083962264	0.083396226	0.065943396	0.086603774	0.056132075	0.07	0.056320755	0.063962264	0.072358491	0.077075472
Frankiales	0.005849057	0.006320755	0.004716981	0.008490566	0.004339623	0.008018868	0.009528302	0.006320755	0.009622642	0.008962264	0.005849057	0.005188679	0.008490566	0.006792453	0.008584906	0.007169811	0.007075472	0.006037736	0.007358491	0.00745283	0.013301887	0.005943396	0.008018868	0.009245283	0.013867925	0.013867925	0.01009434	0.006886792	0.006981132	0.006886792	0.009433962	0.006320755	0.006415094	0.005283019	0.00745283	0.007264151	0.00754717	0.005943396	0.005754717	0.006132075	0.005	0.005377358	0.002641509	0.00509434	0.00490566	0.004622642	0.005377358	0.00745283	0.014716981	0.006603774	0.005	0.006981132	0.006226415	0.009339623	0.005566038	0.015660377	0.007169811	0.006981132	0.010188679	0.006226415	0.004811321	0.011886792	0.003962264	0.006320755	0.007924528	0.004245283	0.007830189	0.00745283	0.008018868	0.007641509	0.005566038	0.010943396	0.006981132	0.009528302	0.012075472	0.005377358	0.00754717	0.007735849	0.007924528	0.00509434	0.002924528	0.001603774	0.002169811	0.003679245	0.003113208	0.001981132	0.001698113	0.004150943	0.006603774	0.003396226	0.002075472	0.004528302	0.001981132	0.003207547	0.004150943	0.00490566	0.004245283	0.00490566	0.005	0.002075472	0.001132075	0.001792453	0.003018868	0.00245283	0.00490566	0.003679245	0.005943396	0.003301887	0.003490566	0.008490566	0.002924528	0.003867925	0.001603774	0.002830189	0.002735849	0.004622642	0.003773585	0.004622642	0.001132075	0.002924528	0.003301887	0.004245283	0.003301887	0.002924528	0.003584906	0.003113208	0.005566038	0.003113208	0.002169811	0.002830189	0.003396226	0.005377358	0.001320755	0.003584906	0.002358491	0.004622642	0.004056604	0.004339623	0.002075472	0.003867925	0.003490566	0.003490566	0.001792453	0.003113208	0.00245283	0.003867925	0.005660377	0.00254717	0.001792453	0.001603774	0.001415094	0.004245283	0.003207547	0.002641509	0.002075472	0.004245283	0.001320755	0.003113208	0.003584906	0.001415094	0.003396226	0.00509434	0.004339623	0.005283019	0.000660377	0.001886792	0.00254717	0.002075472	0.002264151	0.003773585	0.008396226	0.007924528	0.006509434	0.004150943	0.00254717	0.009622642	0.002358491	0.002358491	0.003490566	0.001698113	0.003679245	0.003962264	0.00490566	0.001603774	0.003301887	0.00254717	0.003773585	0.001415094	0.001320755	0.003301887
Rokubacteriales	0.005471698	0.001792453	0.000377358	0.001886792	0.001792453	0.001132075	0.000660377	0.000660377	0.001792453	0.001603774	0.001037736	0.001698113	0.000566038	0.002075472	9.43E-05	0.000943396	0.001320755	0.001698113	0.000849057	0.001132075	0.005754717	0.004811321	0.002075472	0.001320755	0.003490566	0.004622642	0.000660377	0.002830189	0.001509434	0.003113208	0.009811321	0.001037736	0.000943396	0.002169811	0.001981132	0.001132075	0.000849057	0.000943396	0.002264151	0.001037736	0.000754717	0.000377358	0.000471698	0.000943396	0.000849057	0.000849057	0.001226415	0.001037736	0.007641509	0.000566038	0.000660377	0.003962264	0.000471698	0.000943396	0.001698113	0.006320755	0.000943396	0.000943396	0.001981132	0.001886792	0.001603774	0.001981132	0.000943396	0.001415094	0.008773585	0.000566038	0.004245283	0.001037736	0.000943396	0.001132075	0.000566038	0.011037736	0.001509434	0.000377358	0.003396226	0.000471698	0.001698113	0.001415094	0.001037736	0.010566038	0.009150943	0.003207547	0.016886792	0.006415094	0.011226415	0.008679245	0.009150943	0.004433962	0.009716981	0.006509434	0.020566038	0.003301887	0.00745283	0.006320755	0.006509434	0.006132075	0.004433962	0.002830189	0.005566038	0.003773585	0.003113208	0.009339623	0.006415094	0.012924528	0.009150943	0.010377358	0.006509434	0.010660377	0.020566038	0.009056604	0.006886792	0.005377358	0.00754717	0.006981132	0.004433962	0.00754717	0.007169811	0.004622642	0.004339623	0.005754717	0.004811321	0.005188679	0.00490566	0.006226415	0.003584906	0.005660377	0.005	0.007358491	0.004339623	0.014245283	0.003962264	0.003962264	0.008301887	0.007735849	0.005188679	0.007264151	0.012169811	0.012169811	0.017075472	0.008207547	0.006226415	0.006037736	0.006226415	0.003584906	0.005754717	0.006792453	0.00745283	0.006603774	0.007830189	0.006226415	0.003207547	0.004716981	0.00254717	0.004150943	0.005566038	0.003867925	0.005754717	0.008584906	0.005	0.005943396	0.009622642	0.00754717	0.006981132	0.006792453	0.008584906	0.006981132	0.003584906	0.005471698	0.007264151	0.01009434	0.007358491	0.004433962	0.006320755	0.005566038	0.055566038	0.025754717	0.036132075	0.046698113	0.00990566	0.006981132	0.011981132	0.006698113	0.008301887	0.012169811	0.005	0.013396226	0.009245283	0.011415094	0.011603774	0.012641509
Pyrinomonadales	0.003679245	0.001320755	0.001226415	0.002641509	0.001981132	0.001415094	0.001981132	0.000943396	0.002264151	0.001981132	0.001603774	0.003396226	0.001698113	0.002924528	0.000660377	0.001698113	0.001792453	0.001603774	0.001037736	0.001698113	0.005	0.001792453	0.001698113	0.001320755	0.003867925	0.004339623	0.002075472	0.002830189	0.002169811	0.005566038	0.008773585	0.00254717	0.00245283	0.003396226	0.004150943	0.003113208	0.000943396	0.002264151	0.003018868	0.001603774	0.001415094	0.002641509	0.001886792	0.001320755	0.000566038	0.001981132	0.000943396	0.00245283	0.003490566	0.000566038	0.003679245	0.002358491	0.001320755	0.001037736	0.003018868	0.006226415	0.001603774	0.001886792	0.00245283	0.00254717	0.003018868	0.001603774	0.001981132	0.001509434	0.007641509	0.001132075	0.006509434	0.000943396	0.001320755	0.001226415	0.001792453	0.010943396	0.001415094	0.000943396	0.003301887	0.000754717	0.001509434	0.001226415	0.001226415	0.019716981	0.012169811	0.009811321	0.020660377	0.009433962	0.012075472	0.013679245	0.014339623	0.010377358	0.007169811	0.007075472	0.009150943	0.006037736	0.007358491	0.004245283	0.010471698	0.006603774	0.008679245	0.005943396	0.008584906	0.004056604	0.003773585	0.008773585	0.004716981	0.007924528	0.008490566	0.011037736	0.008113208	0.006320755	0.006415094	0.007641509	0.008773585	0.007641509	0.010188679	0.00754717	0.006981132	0.012358491	0.007830189	0.011320755	0.009433962	0.009433962	0.010377358	0.006792453	0.00754717	0.009716981	0.009056604	0.010754717	0.00745283	0.011320755	0.007641509	0.01254717	0.002358491	0.01	0.006981132	0.00745283	0.008301887	0.009056604	0.005377358	0.010849057	0.008396226	0.005377358	0.006603774	0.006226415	0.004716981	0.004433962	0.006792453	0.00754717	0.006698113	0.004811321	0.009150943	0.006320755	0.003679245	0.005471698	0.003301887	0.007169811	0.004433962	0.004622642	0.008490566	0.005	0.004245283	0.008301887	0.012264151	0.005754717	0.011037736	0.012735849	0.009245283	0.010660377	0.008207547	0.009528302	0.008113208	0.017830189	0.011037736	0.009716981	0.009528302	0.010849057	0.025849057	0.009811321	0.018490566	0.018490566	0.009150943	0.006132075	0.012075472	0.008113208	0.010188679	0.00990566	0.00745283	0.015377358	0.014528302	0.010943396	0.011132075	0.020188679
Acidobacteriales	0.025188679	0.010471698	0.005849057	0.013679245	0.007358491	0.01990566	0.010377358	0.007358491	0.011698113	0.009339623	0.007830189	0.010471698	0.011509434	0.014150943	0.010283019	0.008113208	0.006226415	0.009150943	0.00745283	0.012169811	0.033962264	0.011603774	0.01	0.012264151	0.035471698	0.062264151	0.010188679	0.008962264	0.012830189	0.012924528	0.043584906	0.01245283	0.009245283	0.01490566	0.006792453	0.009528302	0.011226415	0.016698113	0.009811321	0.012924528	0.011698113	0.008301887	0.008207547	0.008679245	0.00745283	0.008962264	0.008490566	0.01245283	0.066698113	0.008490566	0.005	0.012830189	0.011132075	0.007830189	0.01509434	0.056603774	0.01245283	0.013679245	0.00745283	0.01245283	0.011509434	0.014150943	0.008679245	0.007358491	0.03	0.007830189	0.062169811	0.012735849	0.009245283	0.008113208	0.008584906	0.052924528	0.008301887	0.009056604	0.053679245	0.008490566	0.009622642	0.011886792	0.007358491	0.001320755	0.000754717	0.002264151	0.001037736	0.000660377	0.001886792	0.005849057	0.001886792	0.000943396	0.002169811	0.000566038	0.000754717	0.000471698	0.000471698	0.001603774	0.000283019	0.000754717	0.001320755	0.000849057	0.000377358	0.001415094	0.000754717	0.001320755	0.001037736	0.001415094	0.001320755	0.000754717	0.000377358	0.001603774	0.000377358	0.001226415	0.000471698	0.000471698	0.001132075	0.001037736	0.000660377	0.000471698	0.001792453	0.000566038	0.001320755	0.001226415	0.001132075	0.001037736	0.000471698	0.001509434	0.001792453	0.000849057	0.000566038	0.001509434	0.000849057	0.001698113	0.000660377	0.000943396	0.001132075	0.001698113	0.001132075	0.000566038	0.000377358	0.001226415	0.005188679	0.000566038	0.001509434	0.000283019	0.001320755	0.000377358	0.001226415	0.001037736	0.001037736	0.000943396	0.001226415	0.001037736	0.001226415	0.000849057	0.001132075	0.001698113	0.001226415	0.000943396	0.000849057	0.000849057	0.000754717	0.002075472	0.002641509	0.000849057	0.003867925	0.001792453	0.001226415	0.000754717	0.003396226	0.000943396	0.001886792	0.001320755	0.004622642	0.001226415	0.001226415	0.001037736	0.005283019	0.004622642	0.008018868	0.003301887	0.001037736	0.000660377	0.000849057	0.001981132	0.002075472	0.000849057	0.001603774	0.001226415	0.002075472	0.001132075	0.001132075	0.001037736
Subgroup_7	0.003679245	0.00245283	0.001603774	0.003018868	0.001981132	0.001698113	0.001226415	0.001603774	0.003773585	0.002830189	0.001603774	0.003207547	0.002075472	0.003301887	0.000471698	0.002075472	0.001698113	0.001886792	0.001698113	0.002169811	0.007358491	0.003962264	0.001603774	0.002169811	0.007264151	0.005849057	0.001698113	0.003396226	0.001792453	0.003018868	0.008301887	0.002924528	0.001792453	0.002264151	0.002830189	0.00245283	0.001603774	0.001981132	0.004245283	0.001415094	0.001226415	0.001792453	0.001415094	0.001698113	0.000943396	0.002358491	0.001603774	0.002735849	0.006981132	0.000849057	0.003113208	0.004056604	0.001037736	0.001320755	0.002641509	0.006415094	0.002641509	0.001886792	0.002924528	0.001226415	0.003679245	0.001886792	0.001981132	0.002169811	0.011886792	0.000566038	0.009150943	0.001792453	0.002075472	0.002358491	0.001132075	0.008867925	0.003301887	0.001132075	0.003679245	0.000283019	0.00254717	0.001132075	0.001132075	0.018584906	0.015943396	0.007641509	0.021603774	0.011037736	0.014433962	0.014622642	0.013773585	0.010754717	0.008679245	0.008867925	0.019245283	0.008773585	0.01	0.005849057	0.011886792	0.006415094	0.012358491	0.005566038	0.010471698	0.004056604	0.005754717	0.011603774	0.006132075	0.010566038	0.010377358	0.012735849	0.010471698	0.010566038	0.016509434	0.009339623	0.009811321	0.011603774	0.009056604	0.009245283	0.007169811	0.00990566	0.013301887	0.013113208	0.009339623	0.011981132	0.009245283	0.007735849	0.008773585	0.010188679	0.008018868	0.010943396	0.011792453	0.014056604	0.01009434	0.017641509	0.004339623	0.007169811	0.008867925	0.008396226	0.008490566	0.008490566	0.007735849	0.017830189	0.014339623	0.009811321	0.005943396	0.007924528	0.011037736	0.005188679	0.00745283	0.009716981	0.012264151	0.008962264	0.009716981	0.008207547	0.004716981	0.006037736	0.004339623	0.005	0.006792453	0.006320755	0.007830189	0.010377358	0.005566038	0.008962264	0.014339623	0.008867925	0.010377358	0.005377358	0.008867925	0.012169811	0.006603774	0.012075472	0.011037736	0.014433962	0.010283019	0.010566038	0.007169811	0.012358491	0.036509434	0.013113208	0.017264151	0.023584906	0.018113208	0.009811321	0.011603774	0.008301887	0.01509434	0.014528302	0.010188679	0.013867925	0.014056604	0.009339623	0.013396226	0.018584906
Pseudomonadales	0.006320755	0.017830189	0.000849057	0.046509434	0.008113208	0	9.43E-05	0.034339623	0.001037736	0	0	0.001226415	0.02509434	0.014150943	0.000188679	0.000283019	0.021132075	0.003396226	0.000283019	0.000660377	0.001037736	0.040283019	0.001037736	0.000471698	0	9.43E-05	0.001698113	0	0.000754717	0.000188679	9.43E-05	0	0	0.000188679	0.000188679	0.000754717	0.014811321	0.004339623	0.000471698	9.43E-05	0.015188679	0.062358491	0.160943396	0.033301887	0.021886792	0.047075472	0.007075472	0.025566038	0	0	0.000283019	0.000943396	0.000188679	0.041886792	0.002169811	0	0.006415094	0.009339623	0.001037736	0.000188679	0.018113208	0.001320755	0.000377358	0.003396226	0	0.003867925	9.43E-05	0.008962264	0	0.034811321	0.003679245	0.000188679	0.001415094	0.021226415	0.000188679	0.006132075	0.01509434	0.003490566	0.000660377	0.001886792	0.003018868	0.00254717	0.000283019	0.001792453	0.004339623	0.003113208	0.016320755	0.002830189	0.001886792	0.017358491	0.000566038	0.003207547	0.005566038	0.000943396	0.005660377	0.003396226	0.000849057	0.01254717	0.003301887	0.015566038	0.018207547	0.009150943	0.001792453	0.005754717	0.003584906	0.011320755	0.006886792	0.003113208	0.010943396	0.002924528	0.003490566	0.006886792	0.043773585	0.002735849	0.015377358	0.010754717	0.004245283	0.009528302	0.012924528	0.001603774	0.021792453	0.009433962	0.002924528	0.020283019	0.004622642	0.007264151	0.01745283	0.004716981	0.002735849	0.001886792	0.009339623	0.010377358	0.011981132	0.002264151	0.006509434	0.019150943	0.026415094	0.005566038	0.002830189	0.005188679	0.026132075	0.009528302	0.003679245	0.001886792	0.005188679	0.002924528	0.007924528	0.005188679	0.00245283	0.001320755	0.004056604	0.00254717	0.003301887	0.003490566	0.009150943	0.010943396	0.010660377	0.003773585	0.008018868	0.00509434	0.008207547	0.010471698	0.021037736	0.006320755	0.00245283	0.038584906	0.009245283	0.004056604	0.002169811	0.035377358	0.008962264	0.000188679	0.000283019	0.001886792	0.000377358	0.001226415	0.000849057	0.000660377	0.005566038	0.00745283	0.014150943	0.010188679	0.003207547	0.003679245	0.005660377	0.005377358	0.00490566	0.003679245	0.001981132	0.000943396
Solirubrobacterales	0.009245283	0.012075472	0.005188679	0.012641509	0.010188679	0.012830189	0.016132075	0.009716981	0.012169811	0.014150943	0.014622642	0.010566038	0.018207547	0.011981132	0.011132075	0.013301887	0.011037736	0.012830189	0.012830189	0.017641509	0.032264151	0.009339623	0.018679245	0.018301887	0.032735849	0.037169811	0.015566038	0.01490566	0.018207547	0.015566038	0.025377358	0.013113208	0.015471698	0.010849057	0.013018868	0.018301887	0.019528302	0.010377358	0.014433962	0.012358491	0.009528302	0.008773585	0.006132075	0.008962264	0.013113208	0.008207547	0.012169811	0.012641509	0.041698113	0.013396226	0.008207547	0.01509434	0.007830189	0.011698113	0.010754717	0.033113208	0.012169811	0.010754717	0.015849057	0.011886792	0.007075472	0.01490566	0.007358491	0.013962264	0.026886792	0.005471698	0.026509434	0.019245283	0.01490566	0.013773585	0.01	0.023867925	0.01245283	0.019245283	0.028962264	0.005849057	0.016132075	0.016603774	0.013113208	0.003962264	0.002641509	0.002358491	0.003490566	0.003867925	0.005566038	0.001603774	0.003679245	0.005283019	0.010660377	0.003396226	0.005471698	0.004339623	0.005283019	0.005283019	0.003962264	0.003301887	0.005943396	0.005754717	0.006415094	0.001886792	0.001603774	0.003867925	0.003396226	0.011226415	0.006603774	0.009433962	0.00490566	0.005188679	0.008773585	0.016698113	0.005660377	0.003679245	0.001320755	0.004528302	0.004716981	0.004622642	0.004528302	0.002641509	0.001981132	0.008490566	0.005754717	0.004811321	0.003018868	0.004811321	0.004056604	0.003207547	0.005	0.004528302	0.003490566	0.006320755	0.004716981	0.006037736	0.004150943	0.003679245	0.004339623	0.004150943	0.006415094	0.00509434	0.008584906	0.005471698	0.00490566	0.002924528	0.004150943	0.003679245	0.003301887	0.004811321	0.005377358	0.004245283	0.003584906	0.004433962	0.003207547	0.003679245	0.004433962	0.001698113	0.00245283	0.004339623	0.00245283	0.003962264	0.004339623	0.001509434	0.004150943	0.00745283	0.006226415	0.006792453	0.002641509	0.003773585	0.003113208	0.002169811	0.00745283	0.003773585	0.011226415	0.011037736	0.010660377	0.002358491	0.008018868	0.022735849	0.011698113	0.008679245	0.004056604	0.00245283	0.006509434	0.006509434	0.006132075	0.002735849	0.004339623	0.002075472	0.005849057	0.00245283	0.005	0.002924528
Pseudonocardiales	0.009433962	0.018018868	0.010754717	0.029622642	0.025188679	0.005754717	0.016792453	0.017264151	0.030754717	0.026037736	0.022924528	0.015660377	0.021415094	0.020283019	0.003867925	0.027075472	0.029528302	0.029716981	0.018207547	0.023396226	0.003679245	0.006415094	0.015660377	0.024245283	0.000283019	0.001603774	0.010849057	0.025471698	0.01490566	0.024150943	0.00490566	0.011132075	0.029528302	0.006037736	0.033113208	0.014433962	0.03754717	0.01	0.014528302	0.015283019	0.015188679	0.016698113	0.011981132	0.039056604	0.047075472	0.016320755	0.029339623	0.027735849	0.000283019	0.026037736	0.012169811	0.018773585	0.009622642	0.006981132	0.015283019	0.000849057	0.019528302	0.016792453	0.024433962	0.01254717	0.006981132	0.023584906	0.01490566	0.023396226	0.000849057	0.016886792	0.000471698	0.027924528	0.019056604	0.027641509	0.026320755	0.001132075	0.017358491	0.02245283	0.000943396	0.015377358	0.019433962	0.025471698	0.029433962	0.001603774	0.003396226	0.003396226	0.002735849	0.009339623	0.002264151	0.001415094	0.003584906	0.002924528	0.003490566	0.003584906	0.001037736	0.003396226	0.003867925	0.004811321	0.002830189	0.003301887	0.002641509	0.006792453	0.005943396	0.004150943	0.002264151	0.003301887	0.006037736	0.002169811	0.003962264	0.003584906	0.005660377	0.004245283	0.002830189	0.003773585	0.003113208	0.004056604	0.000377358	0.005377358	0.002830189	0.002830189	0.001698113	0.002264151	0.001698113	0.004811321	0.003301887	0.002169811	0.006698113	0.003679245	0.002641509	0.002735849	0.004811321	0.001698113	0.003584906	0.003018868	0.002264151	0.002924528	0.003207547	0.001320755	0.001981132	0.004811321	0.004433962	0.001132075	0.004245283	0.00245283	0.002075472	0.004622642	0.002169811	0.009811321	0.004528302	0.001037736	0.004716981	0.003679245	0.003679245	0.007924528	0.004056604	0.011603774	0.005471698	0.004433962	0.007075472	0.003018868	0.004528302	0.006320755	0.003113208	0.00490566	0.004339623	0.006132075	0.002735849	0.001886792	0.000660377	0.003867925	0.003113208	0.001037736	0.01245283	0.000754717	0.000943396	0.003396226	0.001320755	0.000754717	0.000377358	0.000754717	0.000566038	0.000377358	0.001886792	0.003679245	0.003490566	0.004339623	0.001132075	0.000754717	0.00245283	0.002075472	0.000566038	0.001603774	0.003584906	0.00254717
Tepidisphaerales	0.015660377	0.009433962	0.005566038	0.016981132	0.01509434	0.015754717	0.010849057	0.00490566	0.010943396	0.008396226	0.018113208	0.022075472	0.016320755	0.014528302	0.008773585	0.011698113	0.012641509	0.008962264	0.012924528	0.010566038	0.016037736	0.011698113	0.01254717	0.009811321	0.020754717	0.024528302	0.014339623	0.021981132	0.00990566	0.020471698	0.021981132	0.022075472	0.019150943	0.018113208	0.021792453	0.024339623	0.016886792	0.023867925	0.021886792	0.015566038	0.012358491	0.014433962	0.00990566	0.012358491	0.008490566	0.014056604	0.013490566	0.018679245	0.016886792	0.012264151	0.015188679	0.018962264	0.012641509	0.009622642	0.022169811	0.020377358	0.010377358	0.013584906	0.016132075	0.018113208	0.014622642	0.009433962	0.014811321	0.019339623	0.029528302	0.009528302	0.023962264	0.013490566	0.018962264	0.010283019	0.014245283	0.02254717	0.012924528	0.009150943	0.023679245	0.005471698	0.015	0.010188679	0.008113208	0.014811321	0.009056604	0.013773585	0.010660377	0.009150943	0.009245283	0.023773585	0.019716981	0.007830189	0.008679245	0.008773585	0.013113208	0.008207547	0.00754717	0.008113208	0.015471698	0.005660377	0.008113208	0.009150943	0.009339623	0.003962264	0.005660377	0.010849057	0.003301887	0.005754717	0.008490566	0.008018868	0.006320755	0.005754717	0.011792453	0.009622642	0.008207547	0.01	0.005849057	0.005849057	0.00745283	0.01009434	0.010377358	0.015	0.010943396	0.01254717	0.008301887	0.008396226	0.006981132	0.007075472	0.008490566	0.013018868	0.011320755	0.009150943	0.008584906	0.010754717	0.002264151	0.006698113	0.009245283	0.005660377	0.005283019	0.006509434	0.004245283	0.015188679	0.021792453	0.006698113	0.005566038	0.00490566	0.006509434	0.009716981	0.00990566	0.011415094	0.007264151	0.003867925	0.009339623	0.005566038	0.00490566	0.006509434	0.004528302	0.005660377	0.006320755	0.005754717	0.013867925	0.008773585	0.004339623	0.015188679	0.011603774	0.003679245	0.010943396	0.010283019	0.007735849	0.011981132	0.009056604	0.016509434	0.006886792	0.012264151	0.01754717	0.019339623	0.022075472	0.011415094	0.015566038	0.007264151	0.01009434	0.010471698	0.009150943	0.00745283	0.010283019	0.006981132	0.012641509	0.014528302	0.015660377	0.011886792	0.011981132	0.00754717	0.009716981	0.013018868
