SampleID	Genotype	Microhabitat	Description	Library
JH15.7	17	RHIZO	B124.BARKE	JH15
JH15.10	17	RHIZO	B124.BARKE	JH15
JH15.12	17	RHIZO	B124.BARKE	JH15
JH15.14	17	RHIZO	B124.BARKE	JH15
JH15.26	17	RHIZO	B124.BARKE	JH15
JH15.50	17	RHIZO	B124.BARKE	JH15
JH15.68	17	RHIZO	B124.BARKE	JH15
JH15.71	17	RHIZO	B124.BARKE	JH15
JH15.105	17	RHIZO	B124.BARKE	JH15
JH15.51	17	RHIZO	B124.BARKE	JH15
JH15.25	52	RHIZO	B124.HID2	JH15
JH15.32	52	RHIZO	B124.HID2	JH15
JH15.35	52	RHIZO	B124.HID2	JH15
JH15.58	52	RHIZO	B124.HID2	JH15
JH15.59	52	RHIZO	B124.HID2	JH15
JH15.95	52	RHIZO	B124.HID2	JH15
JH15.104	52	RHIZO	B124.HID2	JH15
JH15.108	52	RHIZO	B124.HID2	JH15
JH15.109	52	RHIZO	B124.HID2	JH15
JH15.115	52	RHIZO	B124.HID2	JH15
JH15.22	Barke	RHIZO	BARKE	JH15
JH15.54	Barke	RHIZO	BARKE	JH15
JH15.69	Barke	RHIZO	BARKE	JH15
JH15.72	Barke	RHIZO	BARKE	JH15
JH15.87	Barke	RHIZO	BARKE	JH15
JH15.91	Barke	RHIZO	BARKE	JH15
JH15.96	Barke	RHIZO	BARKE	JH15
JH15.111	Barke	RHIZO	BARKE	JH15
JH15.113	Barke	RHIZO	BARKE	JH15
JH15.117	Barke	RHIZO	BARKE	JH15
HvHEB154	Barke	RHIZO	BARKE	JH07
HvHEB156	Barke	RHIZO	BARKE	JH07
HvHEB155	Barke	RHIZO	BARKE	JH07
HvHEB157	Barke	RHIZO	BARKE	JH07
JH15.15	Bulk	 BULK	BULK	JH15
JH15.23	Bulk	 BULK	BULK	JH15
JH15.24	Bulk	 BULK	BULK	JH15
JH15.30	Bulk	 BULK	BULK	JH15
JH15.57	Bulk	 BULK	BULK	JH15
JH15.66	Bulk	 BULK	BULK	JH15
JH15.77	Bulk	 BULK	BULK	JH15
JH15.79	Bulk	 BULK	BULK	JH15
JH15.89	Bulk	 BULK	BULK	JH15
JH15.92	Bulk	 BULK	BULK	JH15
HvHEB76	Bulk	 BULK	BULK	JH07
HvHEB77	Bulk	 BULK	BULK	JH07
HvHEB74	Bulk	 BULK	BULK	JH07
HvHEB75	Bulk	 BULK	BULK	JH07
HvHEB78	HB104	RHIZO	BC1S3	JH07
HvHEB79	HB104	RHIZO	BC1S3	JH07
HvHEB22	HB107	RHIZO	BC1S3	JH07
HvHEB109	HB107	RHIZO	BC1S3	JH07
HvHEB48	HB109	RHIZO	BC1S3	JH07
HvHEB224	HB109	RHIZO	BC1S3	JH07
HvHEB9	HB113	RHIZO	BC1S3	JH07
HvHEB147	HB113	RHIZO	BC1S3	JH07
HvHEB135	HB117	RHIZO	BC1S3	JH07
HvHEB136	HB117	RHIZO	BC1S3	JH07
HvHEB122	HB118	RHIZO	BC1S3	JH07
HvHEB123	HB118	RHIZO	BC1S3	JH07
HvHEB40	HB120	RHIZO	BC1S3	JH07
HvHEB264	HB120	RHIZO	BC1S3	JH07
HvHEB235	HB122	RHIZO	BC1S3	JH07
HvHEB236	HB122	RHIZO	BC1S3	JH07
HvHEB115	HB124	RHIZO	BC1S3	JH07
HvHEB116	HB124	RHIZO	BC1S3	JH07
HvHEB4	HB125	RHIZO	BC1S3	JH07
HvHEB112	HB125	RHIZO	BC1S3	JH07
HvHEB186	HB127	RHIZO	BC1S3	JH07
HvHEB187	HB127	RHIZO	BC1S3	JH07
HvHEB232	HB128	RHIZO	BC1S3	JH07
HvHEB233	HB128	RHIZO	BC1S3	JH07
HvHEB198	HB132	RHIZO	BC1S3	JH07
HvHEB200	HB132	RHIZO	BC1S3	JH07
HvHEB36	HB134	RHIZO	BC1S3	JH07
HvHEB132	HB134	RHIZO	BC1S3	JH07
HvHEB42	HB137	RHIZO	BC1S3	JH07
HvHEB208	HB137	RHIZO	BC1S3	JH07
HvHEB261	HB139	RHIZO	BC1S3	JH07
HvHEB262	HB139	RHIZO	BC1S3	JH07
HvHEB120	HB14	RHIZO	BC1S3	JH07
HvHEB121	HB14	RHIZO	BC1S3	JH07
HvHEB177	HB140	RHIZO	BC1S3	JH07
HvHEB179	HB140	RHIZO	BC1S3	JH07
HvHEB59	HB142	RHIZO	BC1S3	JH07
HvHEB163	HB142	RHIZO	BC1S3	JH07
HvHEB164	HB142	RHIZO	BC1S3	JH07
HvHEB231	HB142	RHIZO	BC1S3	JH07
HvHEB92	HB143	RHIZO	BC1S3	JH07
HvHEB93	HB143	RHIZO	BC1S3	JH07
HvHEB219	HB143	RHIZO	BC1S3	JH07
HvHEB220	HB143	RHIZO	BC1S3	JH07
HvHEB253	HB145	RHIZO	BC1S3	JH07
HvHEB254	HB145	RHIZO	BC1S3	JH07
HvHEB257	HB19	RHIZO	BC1S3	JH07
HvHEB259	HB19	RHIZO	BC1S3	JH07
HvHEB144	HB20	RHIZO	BC1S3	JH07
HvHEB145	HB20	RHIZO	BC1S3	JH07
HvHEB43	HB21	RHIZO	BC1S3	JH07
HvHEB203	HB21	RHIZO	BC1S3	JH07
HvHEB80	HB23	RHIZO	BC1S3	JH07
HvHEB81	HB23	RHIZO	BC1S3	JH07
HvHEB53	HB31	RHIZO	BC1S3	JH07
HvHEB173	HB31	RHIZO	BC1S3	JH07
HvHEB141	HB4	RHIZO	BC1S3	JH07
HvHEB142	HB4	RHIZO	BC1S3	JH07
HvHEB175	HB41	RHIZO	BC1S3	JH07
HvHEB176	HB41	RHIZO	BC1S3	JH07
HvHEB127	HB44	RHIZO	BC1S3	JH07
HvHEB128	HB44	RHIZO	BC1S3	JH07
HvHEB182	HB45	RHIZO	BC1S3	JH07
HvHEB183	HB45	RHIZO	BC1S3	JH07
HvHEB204	HB48	RHIZO	BC1S3	JH07
HvHEB205	HB48	RHIZO	BC1S3	JH07
HvHEB239	HB51	RHIZO	BC1S3	JH07
HvHEB240	HB51	RHIZO	BC1S3	JH07
HvHEB97	HB52	RHIZO	BC1S3	JH07
HvHEB98	HB52	RHIZO	BC1S3	JH07
HvHEB222	HB53	RHIZO	BC1S3	JH07
HvHEB223	HB53	RHIZO	BC1S3	JH07
HvHEB60	HB55	RHIZO	BC1S3	JH07
HvHEB195	HB55	RHIZO	BC1S3	JH07
HvHEB266	HB56	RHIZO	BC1S3	JH07
HvHEB267	HB56	RHIZO	BC1S3	JH07
HvHEB100	HB57	RHIZO	BC1S3	JH07
HvHEB101	HB57	RHIZO	BC1S3	JH07
HvHEB190	HB61	RHIZO	BC1S3	JH07
HvHEB191	HB61	RHIZO	BC1S3	JH07
HvHEB241	HB63	RHIZO	BC1S3	JH07
HvHEB244	HB63	RHIZO	BC1S3	JH07
HvHEB30	HB64	RHIZO	BC1S3	JH07
HvHEB166	HB64	RHIZO	BC1S3	JH07
HvHEB215	HB65	RHIZO	BC1S3	JH07
HvHEB216	HB65	RHIZO	BC1S3	JH07
HvHEB63	HB68	RHIZO	BC1S3	JH07
HvHEB181	HB68	RHIZO	BC1S3	JH07
HvHEB104	HB69	RHIZO	BC1S3	JH07
HvHEB106	HB69	RHIZO	BC1S3	JH07
HvHEB245	HB76	RHIZO	BC1S3	JH07
HvHEB247	HB76	RHIZO	BC1S3	JH07
HvHEB138	HB85	RHIZO	BC1S3	JH07
HvHEB140	HB85	RHIZO	BC1S3	JH07
HvHEB168	HB86	RHIZO	BC1S3	JH07
