"Group.1"	"Sample"	"value"	"SampleID"	"Genotype"	"Microhabitat"	"Description"	"Library"
"2"	"<0.5%"	"JH15.10"	0.043018868	"JH15.10"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"2.1"	"Frankiales"	"JH15.10"	0.006320755	"JH15.10"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"2.2"	"Rokubacteriales"	"JH15.10"	0.001792453	"JH15.10"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"2.3"	"Pyrinomonadales"	"JH15.10"	0.001320755	"JH15.10"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"2.4"	"Acidobacteriales"	"JH15.10"	0.010471698	"JH15.10"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"2.5"	"Subgroup_7"	"JH15.10"	0.00245283	"JH15.10"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"2.6"	"Pseudomonadales"	"JH15.10"	0.017830189	"JH15.10"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"2.7"	"Solirubrobacterales"	"JH15.10"	0.012075472	"JH15.10"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"2.8"	"Pseudonocardiales"	"JH15.10"	0.018018868	"JH15.10"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"2.9"	"Tepidisphaerales"	"JH15.10"	0.009433962	"JH15.10"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"2.10"	"Caulobacterales"	"JH15.10"	0.006981132	"JH15.10"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"2.11"	"Nitrososphaerales"	"JH15.10"	0.002075472	"JH15.10"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"2.12"	"Micropepsales"	"JH15.10"	0.019056604	"JH15.10"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"2.13"	"Gaiellales"	"JH15.10"	0.015943396	"JH15.10"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"2.14"	"Paenibacillales"	"JH15.10"	0.009339623	"JH15.10"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"2.15"	"Pedosphaerales"	"JH15.10"	0.011226415	"JH15.10"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
