SampleID	Genotype	Germplasm	Treatment	Compartment	Block	Plot
CK_R1_1	X1	Landrace	CK	Root	1	P11
CK_R1_2	X1	Landrace	CK	Root	2	P11
CK_R1_3	X1	Landrace	CK	Root	3	P11
CK_R10_1	X10	Landrace	CK	Root	1	P05
CK_R10_2	X10	Landrace	CK	Root	2	P05
CK_R10_3	X10	Landrace	CK	Root	3	P05
CK_R100_1	X100	Inbred_line	CK	Root	1	P11
CK_R100_2	X100	Inbred_line	CK	Root	2	P11
CK_R100_3	X100	Inbred_line	CK	Root	3	P11
CK_R101_1	X101	Inbred_line	CK	Root	1	P14
CK_R101_2	X101	Inbred_line	CK	Root	2	P14
CK_R101_3	X101	Inbred_line	CK	Root	3	P14
CK_R102_1	X102	Inbred_line	CK	Root	1	P14
CK_R102_2	X102	Inbred_line	CK	Root	2	P14
CK_R102_3	X102	Inbred_line	CK	Root	3	P14
CK_R103_1	X103	Inbred_line	CK	Root	1	P08
CK_R103_2	X103	Inbred_line	CK	Root	2	P08
CK_R103_3	X103	Inbred_line	CK	Root	3	P08
CK_R104_1	X104	Inbred_line	CK	Root	1	P14
CK_R104_2	X104	Inbred_line	CK	Root	2	P14
CK_R104_3	X104	Inbred_line	CK	Root	3	P14
CK_R105_1	X105	Inbred_line	CK	Root	1	P05
CK_R105_2	X105	Inbred_line	CK	Root	2	P05
CK_R105_3	X105	Inbred_line	CK	Root	3	P05
CK_R106_1	X106	Inbred_line	CK	Root	1	P05
CK_R106_2	X106	Inbred_line	CK	Root	2	P05
CK_R106_3	X106	Inbred_line	CK	Root	3	P05
CK_R107_1	X107	Inbred_line	CK	Root	1	P08
CK_R107_2	X107	Inbred_line	CK	Root	2	P08
CK_R107_3	X107	Inbred_line	CK	Root	3	P08
CK_R108_1	X108	Inbred_line	CK	Root	1	P05
CK_R108_2	X108	Inbred_line	CK	Root	2	P05
CK_R108_3	X108	Inbred_line	CK	Root	3	P05
CK_R109_1	X109	Hybrid	CK	Root	1	P08
CK_R109_2	X109	Hybrid	CK	Root	2	P08
CK_R109_3	X109	Hybrid	CK	Root	3	P08
CK_R11_1	X11	Landrace	CK	Root	1	P05
CK_R11_2	X11	Landrace	CK	Root	2	P05
CK_R11_3	X11	Landrace	CK	Root	3	P05
CK_R110_1	X110	Hybrid	CK	Root	1	P11
CK_R110_2	X110	Hybrid	CK	Root	2	P11
CK_R110_3	X110	Hybrid	CK	Root	3	P11
CK_R111_1	X111	Hybrid	CK	Root	1	P11
CK_R111_2	X111	Hybrid	CK	Root	2	P11
CK_R111_3	X111	Hybrid	CK	Root	3	P11
CK_R112_1	X112	Hybrid	CK	Root	1	P08
CK_R112_2	X112	Hybrid	CK	Root	2	P08
CK_R112_3	X112	Hybrid	CK	Root	3	P08
CK_R113_1	X113	Hybrid	CK	Root	1	P05
CK_R113_2	X113	Hybrid	CK	Root	2	P05
CK_R113_3	X113	Hybrid	CK	Root	3	P05
CK_R114_1	X114	Hybrid	CK	Root	1	P14
CK_R114_2	X114	Hybrid	CK	Root	2	P14
CK_R114_3	X114	Hybrid	CK	Root	3	P14
CK_R115_1	X115	Hybrid	CK	Root	1	P11
CK_R115_2	X115	Hybrid	CK	Root	2	P11
CK_R115_3	X115	Hybrid	CK	Root	3	P11
CK_R116_1	X116	Hybrid	CK	Root	1	P08
CK_R116_2	X116	Hybrid	CK	Root	2	P08
CK_R116_3	X116	Hybrid	CK	Root	3	P08
CK_R117_1	X117	Hybrid	CK	Root	1	P14
CK_R117_2	X117	Hybrid	CK	Root	2	P14
CK_R117_3	X117	Hybrid	CK	Root	3	P14
CK_R118_1	X118	Hybrid	CK	Root	1	P08
CK_R118_2	X118	Hybrid	CK	Root	2	P08
CK_R118_3	X118	Hybrid	CK	Root	3	P08
CK_R119_1	X119	Teosinte	CK	Root	1	P08
CK_R119_2	X119	Teosinte	CK	Root	2	P08
CK_R119_3	X119	Teosinte	CK	Root	3	P08
CK_R12_1	X12	Landrace	CK	Root	1	P14
CK_R12_2	X12	Landrace	CK	Root	2	P14
CK_R12_3	X12	Landrace	CK	Root	3	P14
CK_R120_1	X120	Teosinte	CK	Root	1	P05
CK_R120_2	X120	Teosinte	CK	Root	2	P05
CK_R120_3	X120	Teosinte	CK	Root	3	P05
CK_R121_1	X121	Teosinte	CK	Root	1	P14
CK_R121_2	X121	Teosinte	CK	Root	2	P14
CK_R121_3	X121	Teosinte	CK	Root	3	P14
CK_R122_1	X122	Teosinte	CK	Root	1	P05
CK_R122_2	X122	Teosinte	CK	Root	2	P05
CK_R122_3	X122	Teosinte	CK	Root	3	P05
CK_R123_1	X123	Teosinte	CK	Root	1	P08
CK_R123_2	X123	Teosinte	CK	Root	2	P08
CK_R123_3	X123	Teosinte	CK	Root	3	P08
CK_R124_1	X124	Teosinte	CK	Root	1	P11
CK_R124_2	X124	Teosinte	CK	Root	2	P11
CK_R124_3	X124	Teosinte	CK	Root	3	P11
CK_R125_1	X125	Teosinte	CK	Root	1	P11
CK_R125_2	X125	Teosinte	CK	Root	2	P11
CK_R125_3	X125	Teosinte	CK	Root	3	P11
CK_R126_1	X126	Teosinte	CK	Root	1	P08
CK_R126_2	X126	Teosinte	CK	Root	2	P08
CK_R126_3	X126	Teosinte	CK	Root	3	P08
CK_R127_1	X127	Teosinte	CK	Root	1	P14
CK_R127_2	X127	Teosinte	CK	Root	2	P14
CK_R127_3	X127	Teosinte	CK	Root	3	P14
CK_R128_1	X128	Teosinte	CK	Root	1	P05
CK_R128_2	X128	Teosinte	CK	Root	2	P05
CK_R128_3	X128	Teosinte	CK	Root	3	P05
CK_R129_1	X129	Teosinte	CK	Root	1	P05
CK_R129_2	X129	Teosinte	CK	Root	2	P05
CK_R129_3	X129	Teosinte	CK	Root	3	P05
CK_R13_1	X13	Landrace	CK	Root	1	P08
CK_R13_2	X13	Landrace	CK	Root	2	P08
CK_R13_3	X13	Landrace	CK	Root	3	P08
CK_R14_1	X14	Landrace	CK	Root	1	P14
