"Group.1"	"Sample"	"value"	"SampleID"	"Genotype"	"Germplasm"	"Treatment"	"Compartment"	"Block"	"Plot"
"1"	"<0.5%"	"CK_R1_1"	0.030013643	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.1"	"Chthoniobacterales"	"CK_R1_1"	0.002387449	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.2"	"Dongiales"	"CK_R1_1"	0	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.3"	"Steroidobacterales"	"CK_R1_1"	0.007503411	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.4"	"Paenibacillales"	"CK_R1_1"	0.011255116	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.5"	"Solirubrobacterales"	"CK_R1_1"	0.017053206	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.6"	"Xanthomonadales"	"CK_R1_1"	0.075034106	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.7"	"Propionibacteriales"	"CK_R1_1"	0.02728513	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.8"	"Pseudomonadales"	"CK_R1_1"	0.01159618	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.9"	"Chloroflexales"	"CK_R1_1"	0.061050477	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.10"	"Frankiales"	"CK_R1_1"	0.013983629	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.11"	"Polyangiales"	"CK_R1_1"	0.022169168	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.12"	"Corynebacteriales"	"CK_R1_1"	0.00579809	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.13"	"Gammaproteobacteria_Incertae_Sedis"	"CK_R1_1"	0	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.14"	"KD4-96"	"CK_R1_1"	0.036834925	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.15"	"Pseudonocardiales"	"CK_R1_1"	0.003410641	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.16"	"Microtrichales"	"CK_R1_1"	0	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.17"	"Micrococcales"	"CK_R1_1"	0.017735334	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.18"	"Chitinophagales"	"CK_R1_1"	0.171896317	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.19"	"Gemmatimonadales"	"CK_R1_1"	0	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.20"	"Sphingomonadales"	"CK_R1_1"	0.025238745	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.21"	"Clostridia"	"CK_R1_1"	0	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.22"	"Bryobacterales"	"CK_R1_1"	0.010572988	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.23"	"Vicinamibacterales"	"CK_R1_1"	0.033424284	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.24"	"Bacillales"	"CK_R1_1"	0.009890859	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.25"	"Gaiellales"	"CK_R1_1"	0.122783083	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.26"	"Rhizobiales"	"CK_R1_1"	0.068212824	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.27"	"Burkholderiales"	"CK_R1_1"	0.081855389	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
"1.28"	"Pyrinomonadales"	"CK_R1_1"	0.040245566	"CK_R1_1"	"X1"	"Landrace"	"CK"	"Root"	1	"P11"
